job_title,salary_usd,experience_level,employment_type,company_location,remote_ratio,required_skills,education_required,years_experience,industry,company_size,posting_date,year,company_name
Data Scientist,219728,Executive,Part-time,Sweden,No remote,"Python, Computer Vision, R, Docker",Associate,13,Transportation,Mid(50-250),23-09-2024,2024,TechCorp Inc
Head of AI,230237,Executive,Part-time,Japan,Hybrid,"Kubernetes, MLOps, Tableau, Python",Bachelor,10,Transportation,Large(>250),26-07-2024,2024,Cloud AI Solutions
Data Engineer,128890,Executive,Contract,Germany,Fully remote,"Spark, Scala, Hadoop, PyTorch, GCP",Bachelor,12,Automotive,Small(<50),19-01-2025,2025,Quantum Computing Inc
Computer Vision Engineer,96349,Mid,Freelance,Finland,Hybrid,"MLOps, Linux, Tableau, Python",PhD,2,Automotive,Large(>250),20-07-2024,2024,Cognitive Computing
Robotics Engineer,63065,Entry,Full-time,France,Fully remote,"R, Scala, SQL, GCP, Python",Associate,0,Finance,Small(<50),16-03-2025,2025,Advanced Robotics
Data Scientist,111794,Senior,Contract,Singapore,Hybrid,"NLP, MLOps, TensorFlow",Master,7,Technology,Small(<50),10-11-2024,2024,Cloud AI Solutions
AI Consultant,113897,Senior,Part-time,Canada,Hybrid,"PyTorch, Linux, NLP",Associate,9,Gaming,Large(>250),29-02-2024,2024,AI Innovations
Head of AI,168639,Senior,Full-time,Australia,Fully remote,"Spark, SQL, Tableau, Computer Vision, Linux",Associate,9,Consulting,Large(>250),26-02-2024,2024,TechCorp Inc
Data Scientist,92624,Mid,Full-time,Japan,Hybrid,"Kubernetes, SQL, Docker, Deep Learning",Bachelor,4,Government,Large(>250),18-08-2024,2024,DataVision Ltd
Machine Learning Engineer,215627,Executive,Full-time,United Kingdom,Hybrid,"Git, Scala, GCP",PhD,10,Government,Mid(50-250),18-01-2025,2025,DeepTech Ventures
Data Engineer,129706,Mid,Contract,Denmark,No remote,"SQL, PyTorch, Statistics, TensorFlow, NLP",Bachelor,3,Consulting,Large(>250),10-03-2024,2024,Cloud AI Solutions
Deep Learning Engineer,76559,Entry,Freelance,United States,Fully remote,"Data Visualization, Mathematics, PyTorch, GCP",Bachelor,1,Government,Small(<50),09-02-2025,2025,Machine Intelligence Group
Principal Data Scientist,185834,Executive,Contract,United States,Fully remote,"Linux, Data Visualization, Python, TensorFlow",Associate,14,Telecommunications,Large(>250),27-03-2024,2024,Autonomous Tech
Principal Data Scientist,89801,Mid,Part-time,Sweden,Fully remote,"Linux, MLOps, Deep Learning",Master,3,Healthcare,Mid(50-250),30-10-2024,2024,Cloud AI Solutions
